"WrongEntry";"NewEntry"
"Jacaranda mimosaefolia";"Jacaranda mimosifolia"
"Leichenum caniculatum";"Leichenum corniculatum"
"Lithocarpus glabra";"Lithocarpus glaber"
"Lobrathium multipunctatum";"Lobrathium multipunctatus"
"Lonchaea hyalinipennis";"Lonchaea hyalipennis"
"Macfadyena naunguis-cati";"Macfadyena unguis-cati"
"Mesocyclops leucarti";"Mesocyclops leuckarti"
"Metapenaeus monocerus";"Metapenaeus monoceros"
"Microporus thoreyi";"Microporous thoreyi"
"Myicola ostreae";"Myicola ostraea"
"Nuculaspis abietus";"Nuculaspis abietis"
"Oxyurichthys petersi";"Oxyurichthys petersii"
"Papaya ring";"Papaya ringspot"
"Passiflora imperatrice";"Passiflora x belotii"
"Passiflora pinnatistima";"passiflora pinnatistipula"
"Petrobius brevistylus";"Petrobius brevistylis"
"Phyllodesmium poindimieri";"Phyllodesmium poindimiei"
"Physokermes picea";"physokermes piceae"
"Ponera sweyezi";"Ponera swezeyi"
"Populus yunnensis";"Populus yunnanensis"
"Prosopodesmus jacobseni";"Prosopodesmus jacobseni "
"Pseudococcus cosmtocki";"Pseudococcus comstocki"
"Rhopalosiphum nymphphaeae";"Rhopalosiphum nymphaeae"
"Rhus vernificiflua";"Rhus verniciflua"
"Rhytidodus decimusquartus";"Rhytidodus decimaquartus"
"Salix x dascylados";"Salix dascylados"
"Salmo levensis";"Salmo trutta"
"Salmo trutta";"Salmo trutta"
"Sisyracera illabscollsalis";"Sisyracera inabsconsalis"
"Solanum comutum";"Solanum cornutum"
"Solenopsis globlliaria";"Solenopsis globularia "
"Solenopsis globularia";"Solenopsis globularia "
"Synedrella nodifolia";"Synedrella nodiflora"
"Syzygium malaccanese";"Syzygium malaccense"
"Tamias sibirus";"Tamias sibiricus"
"Tapinoma melanocephaillm";"Tapinoma melanocephalum"
"Theridium blandum";"Theridion Blandum"
"Viburnum sargentiae";"Viburnum sargentii"
"Viteus vitifolii";"viteus vitifoliae"
"Vitis labrousca";"Vitis labrusca"
"x Reyllopia";"x Reyllopia conollyana"
"Xanthium glabrum";"Helianthemum nummularium"
"Xylosandrus morigenus";"Xylosandrus morigerus"
