unmatched_term,context,occurrenceStatus,degreeOfEstablishment,pathway,habitat
,occurrenceStatus,Cas Wool Geraniaceae,,,
,occurrenceStatus,"Cas Wool, grain,� Geraniaceae",,,
,occurrenceStatus,"Ext/Cas Wool,� Geraniaceae",,,
,occurrenceStatus,Cas Grain Geraniaceae,,,
,occurrenceStatus,"Cas Grain, wool,� Brassicaceae",,,
,occurrenceStatus,Cas Wool Brassicaceae,,,
,occurrenceStatus,Cas  Brassicaceae,,,
,occurrenceStatus,Cas Hort Apiaceae,,,
,occurrenceStatus,Nat Hort Brassicaceae,,,
,occurrenceStatus,Cas Grain Brassicaceae,,,
,occurrenceStatus,"Cas Wool, grain,� Brassicaceae",,,
,occurrenceStatus,Cas Hort Brassicaceae,,,
,occurrenceStatus,Cas Hort Liliaceae,,,
,occurrenceStatus,Cas Hort Papaveraceae,,,
,occurrenceStatus,"Cas Grain,� Brassicaceae",,,
,occurrenceStatus,Cas Hort Celastraceae,,,
,occurrenceStatus,Nat Hort Celastraceae,,,
,occurrenceStatus,Nat Hort Asteraceae,,,
,occurrenceStatus,Cas Hort Asteraceae,,,
,occurrenceStatus,introduced/alien (present/controlled),,,
,occurrenceStatus,alien (reported),,,
,occurrenceStatus,exotic,,,
,occurrenceStatus,introduced/alien (established),,,
,occurrenceStatus,"alien (reported) (introduced, not established)",,,
,occurrenceStatus,introduced (reported to present),,,
,occurrenceStatus,Invasiv,,,
,occurrenceStatus,"alien (introduced, not established)",,,
,occurrenceStatus,introduced (reported as captive/cultivated to present),,,
,occurrenceStatus,"introduced/alien (present, no further details)",,,
,occurrenceStatus,introduced (restricted distribution),,,
,occurrenceStatus,introduced (widespread),,,
,occurrenceStatus,"Cas Wool,�",,,
,occurrenceStatus,Nat Hort,,,
,occurrenceStatus,Cas Hort,,,
,occurrenceStatus,"Nat Grain,�",,,
,occurrenceStatus,Ext/Cas Hort,,,
,occurrenceStatus,Cas Wool,,,
,occurrenceStatus,"Cas Agric, grain",,,
,occurrenceStatus,"Cas Wool, seeds,� Fabaceae",,,
,occurrenceStatus,Cas Grain,,,
,occurrenceStatus,"Cas Grain, wool,� Fabaceae",,,
,occurrenceStatus,"Cas Grain, seeds,� Fabaceae",,,
,occurrenceStatus,"Cas Wool, grain",,,
,occurrenceStatus,"Cas Grain,�",,,
,occurrenceStatus,Nat Agric,,,
,occurrenceStatus,Cas Agric,,,
,occurrenceStatus,Cas Seeds,,,
,occurrenceStatus,"Cas Grain, birdseed Fabaceae",,,
,degreeOfEstablishment,,Alien,,
,degreeOfEstablishment,,established,,
,degreeOfEstablishment,,Extinct casual,,
,degreeOfEstablishment,,Cs,,
,degreeOfEstablishment,,Casual,,
,degreeOfEstablishment,,In captivity/culture,,
,degreeOfEstablishment,,Established,,
,degreeOfEstablishment,,Cryptogenic,,
,degreeOfEstablishment,,alien,,
,degreeOfEstablishment,,Not known,,
,degreeOfEstablishment,,Not established,,
,degreeOfEstablishment,,cas,,
,degreeOfEstablishment,,not established,,
,degreeOfEstablishment,,uncertain,,
,degreeOfEstablishment,,Introduced,,
,degreeOfEstablishment,,casual,,
,degreeOfEstablishment,,invasive,,
,degreeOfEstablishment,,Cas,,
,degreeOfEstablishment,,Partly naturalised,,
,degreeOfEstablishment,,Not Established,,
,degreeOfEstablishment,,Invasive,,
,degreeOfEstablishment,,Naturalised,,
,degreeOfEstablishment,,nat,,
,degreeOfEstablishment,,introduced/alien (present),,
,degreeOfEstablishment,,alien/exotic (naturalised),,
,degreeOfEstablishment,,natruralised,,
,degreeOfEstablishment,,Nt,,
,degreeOfEstablishment,,introduced/alien,,
,degreeOfEstablishment,,"introduced (present, no further details)",,
,degreeOfEstablishment,,In,,
,degreeOfEstablishment,,present,,
,degreeOfEstablishment,,absent,,
,degreeOfEstablishment,,"Naturalised, invasive",,
,degreeOfEstablishment,,Established invasive,,
,degreeOfEstablishment,,inv,,
,degreeOfEstablishment,,"established, invasive",,
,degreeOfEstablishment,,Inv,,
,degreeOfEstablishment,,Within country transfer,,
,degreeOfEstablishment,,alien (established),,
,degreeOfEstablishment,,Ext,,
,degreeOfEstablishment,,introduced,,
,degreeOfEstablishment,,cas o,,
,degreeOfEstablishment,,Nat,,
,degreeOfEstablishment,,Ext/Cas,,
,degreeOfEstablishment,,Extinct,,
,degreeOfEstablishment,,Uncertain,,
,degreeOfEstablishment,,New casual,,
,degreeOfEstablishment,,locally naturalised,,
,degreeOfEstablishment,,extinct,,
,degreeOfEstablishment,,Not applicable NA,,
,degreeOfEstablishment,,nat o,,
,degreeOfEstablishment,,"Naturalised, cryptogenic, invasive",,
,degreeOfEstablishment,,Old casual,,
,degreeOfEstablishment,,"established,  weed of agricultural impact",,
,degreeOfEstablishment,,Erroneously reported,,
,degreeOfEstablishment,,Suspected,,
,degreeOfEstablishment,,"Naturalised, cryptogenic",,
,degreeOfEstablishment,,alien (reported to present),,
,degreeOfEstablishment,,Provenance uncertain,,
,degreeOfEstablishment,,Absent,,
,degreeOfEstablishment,,nat inv,,
,degreeOfEstablishment,,"established, potentially invasive",,
,degreeOfEstablishment,,alien/exotic (present),,
,degreeOfEstablishment,,Remnant of cultivation,,
,degreeOfEstablishment,,introduced/alien (established and expanding),,
,degreeOfEstablishment,,alien (present to established),,
,degreeOfEstablishment,,introduced (localised),,
,degreeOfEstablishment,,eradicated,,
,degreeOfEstablishment,,Data Deficient,,
,degreeOfEstablishment,,introduced/alien (reported),,
,degreeOfEstablishment,,introduced (present),,
,degreeOfEstablishment,,introduced/alien (reported to present),,
,degreeOfEstablishment,,introduced/alien (reported to widespread),,
,degreeOfEstablishment,,alien/exotic (in captivity),,
,degreeOfEstablishment,,introduced/alien (establishment uncertain),,
,degreeOfEstablishment,,alien (reported as captive/cultivated),,
,degreeOfEstablishment,,provenance uncertain,,
,degreeOfEstablishment,,introduced/alien (restricted distribution),,
,degreeOfEstablishment,,Native,,
,degreeOfEstablishment,,alien (present to reported),,
,degreeOfEstablishment,,alien (established to widespread),,
,degreeOfEstablishment,,introduced/alien (present to established),,
,degreeOfEstablishment,,introduced (present to established),,
,degreeOfEstablishment,,introduced/alien (widespread),,
,degreeOfEstablishment,,introduced/alien (reported to restricted distribution),,
,degreeOfEstablishment,,Exotic,,
,degreeOfEstablishment,,nat#,,
,degreeOfEstablishment,,alien/exotic (cultivated),,
,degreeOfEstablishment,,"Cas Wool,� Geraniaceae",,
,degreeOfEstablishment,,Cas Wool Geraniaceae,,
,degreeOfEstablishment,,"Cas Wool, grain,� Geraniaceae",,
,degreeOfEstablishment,,"Ext/Cas Wool,� Geraniaceae",,
,degreeOfEstablishment,,Cas Grain Geraniaceae,,
,degreeOfEstablishment,,"Cas Grain, wool,� Brassicaceae",,
,degreeOfEstablishment,,Cas Wool Brassicaceae,,
,degreeOfEstablishment,,Cas  Brassicaceae,,
,degreeOfEstablishment,,Cas Hort Apiaceae,,
,degreeOfEstablishment,,Nat Hort Brassicaceae,,
,degreeOfEstablishment,,Cas Grain Brassicaceae,,
,degreeOfEstablishment,,"Cas Wool, grain,� Brassicaceae",,
,degreeOfEstablishment,,Cas Hort Brassicaceae,,
,degreeOfEstablishment,,Cas Hort Liliaceae,,
,degreeOfEstablishment,,Cas Hort Papaveraceae,,
,degreeOfEstablishment,,"Cas Grain,� Brassicaceae",,
,degreeOfEstablishment,,Cas Hort Celastraceae,,
,degreeOfEstablishment,,Nat Hort Celastraceae,,
,degreeOfEstablishment,,Nat Hort Asteraceae,,
,degreeOfEstablishment,,Cas Hort Asteraceae,,
,degreeOfEstablishment,,introduced/alien (present/controlled),,
,degreeOfEstablishment,,alien (reported),,
,degreeOfEstablishment,,exotic,,
,degreeOfEstablishment,,introduced/alien (established),,
,degreeOfEstablishment,,"alien (reported) (introduced, not established)",,
,degreeOfEstablishment,,introduced (reported to present),,
,degreeOfEstablishment,,Invasiv,,
,degreeOfEstablishment,,"alien (introduced, not established)",,
,degreeOfEstablishment,,introduced (reported as captive/cultivated to present),,
,degreeOfEstablishment,,"introduced/alien (present, no further details)",,
,degreeOfEstablishment,,introduced (restricted distribution),,
,degreeOfEstablishment,,introduced (widespread),,
,degreeOfEstablishment,,"Cas Wool,�",,
,degreeOfEstablishment,,Nat Hort,,
,degreeOfEstablishment,,Cas Hort,,
,degreeOfEstablishment,,"Nat Grain,�",,
,degreeOfEstablishment,,Ext/Cas Hort,,
,degreeOfEstablishment,,Cas Wool,,
,degreeOfEstablishment,,"Cas Agric, grain",,
,degreeOfEstablishment,,"Cas Wool, seeds,� Fabaceae",,
,degreeOfEstablishment,,Cas Grain,,
,degreeOfEstablishment,,"Cas Grain, wool,� Fabaceae",,
,degreeOfEstablishment,,"Cas Grain, seeds,� Fabaceae",,
,degreeOfEstablishment,,"Cas Wool, grain",,
,degreeOfEstablishment,,"Cas Grain,�",,
,degreeOfEstablishment,,Nat Agric,,
,degreeOfEstablishment,,Cas Agric,,
,degreeOfEstablishment,,Cas Seeds,,
,degreeOfEstablishment,,"Cas Grain, birdseed Fabaceae",,
,pathway,,,fisheries,
,pathway,,,accidental,
,pathway,,,"Fd, Fi",
,pathway,,,"Food, Fibre",
,pathway,,,Fornamentalornamentald,
,pathway,,,Fornamentalornamentald/Medicinal/ornamental/Wood or forest byprodct,
,pathway,,,Escape & Release,
,pathway,,,introduced,
,pathway,,,aquaculture,
,pathway,,,1,
,pathway,,,D,
,pathway,,,Lessepsian migration,
,pathway,,,Fornamentalornamentald/Medicinal/ornamental,
,pathway,,,Medicinal/ornamental,
,pathway,,,"Bs,O,W",
,pathway,,,Fiber,
,pathway,,,A,
,pathway,,,acc,
,pathway,,,Contaminant,
,pathway,,,Wood/Pulp;Ornamental,
,pathway,,,Wood;Ornamental,
,pathway,,,O,
,pathway,,,Ornamental,
,pathway,,,Fuel,
,pathway,,,"Ornamental, tanbark",
,pathway,,,Escape,
,pathway,,,Agroforestry; Ornamental;Materials,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental//Wood or forest byprodct,
,pathway,,,Agroforestry; Ornamental,
,pathway,,,"O, Ti",
,pathway,,,"Ornamental, timber",
,pathway,,,Forestry,
,pathway,,,Wood,
,pathway,,,"Ornamental, tanbark, timber",
,pathway,,,H,
,pathway,,,Cultivation,
,pathway,,,"H,W",
,pathway,,,uncertain,
,pathway,,,accidental with ships,
,pathway,,,Ui,
,pathway,,,Unintentional,
,pathway,,,Accidental,
,pathway,,,no data,
,pathway,,,other reasons,
,pathway,,,ornamental,
,pathway,,,del,
,pathway,,,4,
,pathway,,,intentional,
,pathway,,,Md,
,pathway,,,Cultivation; Medicinal;Ornamental,
,pathway,,,Medicinal,
,pathway,,,A/D,
,pathway,,,Unintentional;Seed Contaminant,
,pathway,,,Aquaculture,
,pathway,,,Ornamental trade,
,pathway,,,angling/sport,
,pathway,,,Fornamentalornamentald/Medicinal,
,pathway,,,"Ornamentals, Medicines",
,pathway,,,Aquaculture/farming,
,pathway,,,W,
,pathway,,,"3, 4",
,pathway,,,Green manure and forage,
,pathway,,,Agroforestry,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/ornamental/,
,pathway,,,Seed Contaminant,
,pathway,,,Ornamentals,
,pathway,,,Fornamentalornamentald/Medicinal/ornamental/,
,pathway,,,Horticulture,
,pathway,,,Fiber/Fornamentalornamentald/Medicinal/ornamental/,
,pathway,,,accidentally,
,pathway,,,Medicinal/ornamental/,
,pathway,,,"E,W",
,pathway,,,"Gs,H,W",
,pathway,,,Neo,
,pathway,,,"G,T,W",
,pathway,,,vagrant,
,pathway,,,Afforestation,
,pathway,,,"Gs,W",
,pathway,,,native,
,pathway,,,Shelter;Erosion Control;Forage Crop;Wood,
,pathway,,,Release,
,pathway,,,Culinary; Medicinal,
,pathway,,,ornamental/Wood or forest byprodct,
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/,
,pathway,,,Intentional,
,pathway,,,"2, 6",
,pathway,,,Fornamentalornamentald/ornamental,
,pathway,,,diffused from other countries,
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/ornamental,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental,
,pathway,,,Forage;Cover;Green Manure Crop,
,pathway,,,"As,W",
,pathway,,,"As,Bs,C,E,G,O,Tn,W",
,pathway,,,"As,Bs,C,O,W",
,pathway,,,Fruit or vegetable,
,pathway,,,"Bs,W",
,pathway,,,"Medicines, Fruit or vegetable",
,pathway,,,"As,Bs,W",
,pathway,,,"Bs,H",
,pathway,,,"A,As,Bs,E,G,O,W",
,pathway,,,"S,Tn,W",
,pathway,,,Fd,
,pathway,,,Food,
,pathway,,,"G,O",
,pathway,,,Fornamentalornamentald/,
,pathway,,,"As,Bs,C,G,O,W",
,pathway,,,"Bs,E,W",
,pathway,,,Cultivation; Ornamental,
,pathway,,,"A,As,Bs,E,G,H,O,W",
,pathway,,,Stocking,
,pathway,,,"As,Bs,G,O",
,pathway,,,G,
,pathway,,,other pest control,
,pathway,,,Contaminant & Stowaway,
,pathway,,,"As,Bs,G,W",
,pathway,,,"Bs,G,W",
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/Wood or forest byprodct,
,pathway,,,accidental (alone or together with other species),
,pathway,,,"As,G",
,pathway,,,"As,Bs,G,Gs,W",
,pathway,,,Ornamental; Accidental,
,pathway,,,bait,
,pathway,,,D/A,
,pathway,,,Fodder,
,pathway,,,Culinary; Cultivation,
,pathway,,,F,
,pathway,,,Contaminant of aquaculture/farming,
,pathway,,,"G,W",
,pathway,,,"E,G,W",
,pathway,,,"As,B,G,W",
,pathway,,,"G,E,W",
,pathway,,,"G,Gs,W",
,pathway,,,3,
,pathway,,,"As,Bs,O,W",
,pathway,,,"Ornamentals, Fruit or vegetable",
,pathway,,,Seed Contaminant; Ships Ballast; Medicinal,
,pathway,,,"As,G,T",
,pathway,,,"As,Gs",
,pathway,,,"A,As,Gs",
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental,
,pathway,,,"G,S",
,pathway,,,Ornamental; Social (Narcotics),
,pathway,,,"Seed Contaminant/(Ornamental, Medicinal)",
,pathway,,,Contaminant of ornamental trade,
,pathway,,,"H,M",
,pathway,,,"2, 3, 4",
,pathway,,,"G,O,W",
,pathway,,,diffusion from neighboring countries,
,pathway,,,"Bs,G",
,pathway,,,other,
,pathway,,,snail control,
,pathway,,,2,
,pathway,,,mosquito control,
,pathway,,,"1, 2",
,pathway,,,Fr,
,pathway,,,"Ornamentals, Green manure and forage",
,pathway,,,Pasture; Turf Grass; Seed Contaminant,
,pathway,,,Agriculture,
,pathway,,,Medicine; Ornamental,
,pathway,,,fill ecological niche,
,pathway,,,Fencing,
,pathway,,,As,
,pathway,,,"Bs,C,W",
,pathway,,,Fiber/Fornamentalornamentald/Medicinal/ornamental,
,pathway,,,Commodity/Seed Contaminant,
,pathway,,,Fornamentalornamentald/Medicinal/,
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/ornamental/,
,pathway,,,Fodder;Forage,
,pathway,,,"Bs,O",
,pathway,,,"Bs,E,G,W",
,pathway,,,"Cultivation, Escape from confinement, Food, Forage, Horticulture, Medicinal, Ornamental, Research, Hitchhiker, Habitat restoration, Preservation",
,pathway,,,"E,H,W",
,pathway,,,"A,Gs,W",
,pathway,,,Gs,
,pathway,,,"As,G,W",
,pathway,,,"D, a",
,pathway,,,7,
,pathway,,,a,
,pathway,,,"B,Bs,G",
,pathway,,,Bs,
,pathway,,,"Bs,H,W",
,pathway,,,"E,H",
,pathway,,,"Ornamental, Timber",
,pathway,,,Ornamental;Medicinal,
,pathway,,,Non-Food Crop Cultivation,
,pathway,,,"Bs,F",
,pathway,,,forage,
,pathway,,,I,
,pathway,,,"Bs,I,W",
,pathway,,,"A,As,W",
,pathway,,,"Bs,G,O",
,pathway,,,Therapeutic; Plant Contaminant,
,pathway,,,Plantation,
,pathway,,,ornamental/,
,pathway,,,"O,W",
,pathway,,,"As,G,Gs",
,pathway,,,"As,Bs,E,G,W",
,pathway,,,Ornamental;Accidental,
,pathway,,,"A,G,H,W",
,pathway,,,"A,Bs,G,W",
,pathway,,,Intentional / Unintentional,
,pathway,,,Fencing;Ornament,
,pathway,,,"Medicines, Green manure and forage",
,pathway,,,"Bs,G,S,W",
,pathway,,,Medicinal/,
,pathway,,,Accidental transportation,
,pathway,,,"Bs,G,O,W",
,pathway,,,"Bs,C,E,G,O,W",
,pathway,,,"A,Bs,F,W",
,pathway,,,"Fd, Md, O",
,pathway,,,"Food, medicinal, ornamental",
,pathway,,,Fornamentalornamentald/ornamental/Medicinal/,
,pathway,,,"F,W",
,pathway,,,Ornamental;Cultivation,
,pathway,,,B,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/ornamental,
,pathway,,,Ornamental; Hedge Plant,
,pathway,,,"As,Bs,G",
,pathway,,,"G,H",
,pathway,,,V,
,pathway,,,weed control,
,pathway,,,"1, 3, 4, 6",
,pathway,,,Fiber/Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/,
,pathway,,,"Crop Production, Ornamental, Escape from confinement, Landscape improvement, Medicinal use",
,pathway,,,"Crop production, Ornamental, Horticulture, Escape from confinement, Food, Medicinal use, Botanical garden",
,pathway,,,S,
,pathway,,,"Bs,Tn,W",
,pathway,,,"F,H",
,pathway,,,Timber,
,pathway,,,"Bs,C,H,W",
,pathway,,,"3, 4, 5",
,pathway,,,"I,W",
,pathway,,,"As,Bs",
,pathway,,,"G,Gs",
,pathway,,,Gr,
,pathway,,,Green Manure,
,pathway,,,Fi,
,pathway,,,Fibre,
,pathway,,,Medicines,
,pathway,,,contaminant,
,pathway,,,"Ornamental, Rubber Production",
,pathway,,,phyto-zooplankton control,
,pathway,,,Cultivation; Food; Horticulture,
,pathway,,,"G,I,W",
,pathway,,,Food; Medicianl; Perfume,
,pathway,,,Crop Production,
,pathway,,,"Bs,G,H,O,W",
,pathway,,,Fornamentalornamentald/ornamental/Wood or forest byprodct,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/,
,pathway,,,"Bs,C,O,W",
,pathway,,,"As,Bs,I,W",
,pathway,,,"As,Bs,G,I,O,W",
,pathway,,,"B,Bs",
,pathway,,,"Gs,H",
,pathway,,,Fodder;Erosion Control;Accidental,
,pathway,,,Fodder;Erosion Control; Seed contaminant,
,pathway,,,"Ornamental, Horticulture, Landscape improvement",
,pathway,,,"Escape from confinement, Ornamental",
,pathway,,,"4, 6",
,pathway,,,"Bs,C,G,O,W",
,pathway,,,"A,Bs",
,pathway,,,Shelter; Erosion Control; Ornamental,
