locationID,verbatimLocation,locality,country,region,taxonID,taxon,habitat,firstRecordEvent,verbatimFirstRecordEvent,confidenceFirstRecordEvent,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,datasetName,bibliographicCitation,accessRights
"",Alaska,Alaska,"","",25944,Allolobophoridella eiseni,"",-1969-2018,>1969 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26164,Alnus nepalensis,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26165,Alocasia cucullata,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5584,Aloe vera,"",-1936-2005,1936 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26168,Alphitonia excelsa,"",-1969-2005,1969 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26169,Alpinia mutica,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24579,Alpinia purpurata,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5586,Alpinia zerumbet,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26170,Alstonia macrophylla,"",-1949-2005,1949 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9864,Alternanthera caracasana,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5595,Alternanthera sessilis,"",-1992-2005,1992 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1671,Amara aenea,"",-1904-2012,1904 (Bousquet (2012)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1674,Amara bifrons,"",-1929-2012,1929 (Bousquet (2012)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1676,Amara familiaris,"",-1901-2012,1901 (Bousquet (2012)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29647,Amara ovata,"",-1925-2012,1925 (Bousquet (2012)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5604,Amaranthus dubius,"",-1990-2005,1990 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",11250,Amazona viridigenalis,"",-1970-1998,1970 (American Ornithologists' Union (1998b)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",19215,Ambrosiophilus atratus,"",-1987-2009,1987 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",21822,Ampulex compressa,"",-1940-1960,1940 (Roth and Willis (1960)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29678,Amynthas agrestis,"",-1934-2018,>1934 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",26204,Amynthas corticis,"",-1914-2018,>1914 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",26205,Amynthas gracilis,"",-1936-2018,>1936 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",26207,Amynthas minimus,"",-1952-2018,>1952 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",26208,Amynthas morrisi,"",-1941-2018,>1941 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29680,Amynthas rodericensis,"",-1954-2018,>1954 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29681,Amynthas tokioensis,"",-1953-2018,>1953 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5624,Anacardium occidentale,"",-1915-2005,1915 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaii,Hawaii,"","",21823,Anagrus frequens,"",-1917-1919-1920-1923,1917-1919; 1920-1923,low confidence,established,established,established,intentional,Silvia Rossinelli & Sven Bacher,Silvia Rossinelli & Sven Bacher,Permission required from Sven Bacher (svenbacher@unifrch)
"",Hawaiian Islands,Hawaiian Islands,"","",99,Anethum graveolens,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26245,Angiopteris evecta,"",-1941-2005,1941 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29694,Anisandrus dispar,"",-1817-2009,1817 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26250,Anisopilothrips venustulus,"",-2010-2019,2010 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24582,Annona cherimola,"",-1911-2005,1911 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5635,Annona glabra,"",-1987-2005,1987 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",16684,Annona muricata,"",-1927-2005,1927 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5636,Annona reticulata,"",-1927-2005,1927 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5637,Annona squamosa,"",-1985-2005,1985 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1729,Anochetus mayri,"",-1986-1992,1986 (Frank and McCoy (1992)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",12193,Anodendron paniculatum,"",-1958-2005,1958 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",12194,Anolis carolinensis,"",-1948-2009,1948 (Kraus (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29700,Anolis chlorocyanus,"",-1978-2009,1978 (Kraus (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26254,Anolis equestris,"",-1981-2009,1981 (Kraus (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26255,Anolis sagrei,"",-1980-2009,1980 (Kraus (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1731,Anomala orientalis,"",-1908-2014,prior to 1908 (Hinson (2014)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5638,Anredera cordifolia,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5639,Antigonon leptopus,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1759,Aonidiella aurantii,"",-1874-2009,1874 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26293,Aphanomerus rufescens,"",-1998-2019,1998 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1817,Aphis spiraecola,"",-1939-2019,1939 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1826,Aphodius granarius,"",-1620-1998,approx 1620 (Bain (1998)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Italy (Sardinia),Italy (Sardinia),"","",19266,Apodemus sylvaticus (Linnaeus 1758),"",-3500-2700,-3500 - -2700,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",Alaska,Alaska,"","",25946,Aporrectodea caliginosa,"",-1951-2018,>1951 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",25946,Aporrectodea caliginosa,"",-1887-2018,>1887 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29734,Aporrectodea icterica,"",-1934-2018,>1934 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",26311,Aporrectodea limicola,"",-1976-2018,>1976 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29735,Aporrectodea longa,"",-1909-2018,>1909 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",25947,Aporrectodea rosea,"",-1909-2018,>1909 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",25948,Aporrectodea trapezoides,"",-1890-2018,>1890 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Alaska,Alaska,"","",25949,Aporrectodea tuberculata,"",-1968-2018,>1968 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",25949,Aporrectodea tuberculata,"",-1890-2018,>1890 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26322,Araucaria columnaris,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1858,Archips podana,"",-1937-2009,1937 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26325,Archontophoenix alexandrae,"",-1949-2005,1949 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",119,Arctium lappa,"",-1910-2005,1910 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5656,Ardisia crenata,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5657,Ardisia elliptica,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26332,Arenga pinnata,"",-1962-2005,1962 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5659,Argemone mexicana,"",-1934-2005,1934 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5663,Argyreia nervosa,"",-1920-2005,1920 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Tristan group,Tristan group,"","",15440,Arrhenatherum elatius (L) PBeauv ex JPresl & CPresl,terrestrial,-1998-1999,1998/1999,low confidence,absent,absent,absent,introduced,Leihy et al (2023),Leihy et al (2023),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26346,Artabotrys hexapetalus,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",133,Artemisia vulgaris,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24584,Arthrostemma ciliatum,"",-1932-2005,1932 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24585,Arundina graminifolia,"",-1950-2005,1950 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",135,Arundo donax,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9468,Asparagus densiflorus,"",-1933-2005,1933 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",137,Asparagus setaceus,"",-1959-2005,1959 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1884,Asterolecanium minus,"",-2000-2009,2000 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5694,Asystasia gangetica,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26379,Atrichopogon levis,"",-2006-2019,2006 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",149,Atriplex semibaccata,"",-1990-2005,1990 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1908,Aulacaspis yasumatsui,"",-1998-2019,1998 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Portugal (mainland),Portugal (mainland),"","",10349,"Avetianella longoi Siscaro, 1992","",-1990-1993,>1990 - 1993,low confidence,Established,Established,Established,"",DAISIE (updated by Helen Roy),DAISIE (updated by Helen Roy),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5708,Azadirachta indica,"",-1988-2005,1988 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",155,Azolla filiculoides,"",-1937-2005,1937 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26402,Baileyothrips arizonensis,"",-1980-2019,1980 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5718,Bambusa vulgaris,"",-1951-2005,1951 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5721,Banksia integrifolia,"",-1989-2005,1989 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5724,Barleria cristata,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5725,Barleria lupulina,"",-1951-2005,1951 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5727,Barleria repens,"",-1990-2005,1990 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5734,Bauhinia purpurea,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5735,Bauhinia variegata,"",-1917-2005,1917 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5737,Begonia cucullata,"",-1932-2005,1932 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26429,Begonia foliosa,"",-1917-2005,1917 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26431,Begonia fusca,"",-1975-2005,1975 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5738,Begonia hirtella,"",-1952-2005,1952 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26432,Begonia nelumbiifolia,"",-1943-2005,1943 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26433,Begonia vitifolia,"",-1890-2005,1890 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",160,Bellis perennis,"",-1933-2005,1933 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
